Well,562:562
A1,2.528
B1,0.313
C1,0.798
D1,0.934
E1,1.006
F1,0.872
G1,0.052
H1,0.05
A2,2.505
B2,0.304
C2,0.781
D2,0.915
E2,0.997
F2,0.865
G2,0.048
H2,0.046
A3,1.984
B3,0.132
C3,1.197
D3,1.041
E3,0.639
F3,1.169
G3,0.046
H3,0.046
A4,2.042
B4,0.128
C4,1.223
D4,1.055
E4,0.678
F4,1.159
G4,0.046
H4,0.046
A5,1.433
B5,0.102
C5,0.848
D5,0.793
E5,0.907
F5,0.758
G5,0.048
H5,0.047
A6,1.421
B6,0.103
C6,0.853
D6,0.825
E6,0.887
F6,0.792
G6,0.047
H6,0.047
A7,1.136
B7,0.535
C7,0.754
D7,0.857
E7,0.874
F7,0.047
G7,0.048
H7,0.046
A8,1.128
B8,0.535
C8,0.762
D8,0.855
E8,0.884
F8,0.046
G8,0.048
H8,0.046
A9,0.836
B9,0.667
C9,0.68
D9,0.76
E9,0.688
F9,0.046
G9,0.047
H9,0.047
A10,0.836
B10,0.652
C10,0.677
D10,0.766
E10,0.689
F10,0.046
G10,0.047
H10,0.047
A11,0.491
B11,0.873
C11,0.864
D11,0.854
E11,0.594
F11,0.046
G11,0.046
H11,0.046
A12,0.492
B12,0.884
C12,0.868
D12,0.856
E12,0.613
F12,0.046
G12,0.047
H12,0.048
