"","fragment_ID","Light_Value","Run","Treatment","micromol.cm2.s","micromol.cm2.h","Date","timepoint"
"1","ACR1_2","0",3,"ambient",-0.000213757177197508,-0.769525837911028,2022-03-26,"TP2"
"2","ACR1_2","649",3,"ambient",0.000106303759536293,0.382693534330656,2022-03-26,"TP2"
"3","ACR10_2","0",1,"ambient",-0.000169296313131502,-0.609466727273406,2022-03-26,"TP2"
"4","ACR10_2","643",1,"ambient",4.8995162318161e-05,0.17638258434538,2022-03-26,"TP2"
"5","ACR11_2","0",2,"ambient",-0.000171798004738562,-0.618472817058823,2022-03-26,"TP2"
"6","ACR11_2","651",2,"ambient",5.37010065460992e-05,0.193323623565957,2022-03-26,"TP2"
"7","ACR12_2","0",3,"ambient",-0.000222382412878522,-0.800576686362678,2022-03-26,"TP2"
"8","ACR12_2","649",3,"ambient",0.000133308413679228,0.47991028924522,2022-03-26,"TP2"
"9","ACR13_2","0",1,"hot",-0.000171499300370259,-0.617397481332934,2022-03-26,"TP2"
"10","ACR13_2","643",1,"hot",9.17406001279168e-05,0.330266160460501,2022-03-26,"TP2"
"11","ACR14_2","0",3,"hot",-0.000165693276845895,-0.596495796645221,2022-03-26,"TP2"
"12","ACR14_2","649",3,"hot",0.000117812130652852,0.424123670350266,2022-03-26,"TP2"
"13","ACR15_2","0",3,"hot",-0.000209053851475694,-0.752593865312498,2022-03-26,"TP2"
"14","ACR15_2","649",3,"hot",8.88775262612839e-05,0.319959094540622,2022-03-26,"TP2"
"15","ACR16_2","0",3,"hot",-0.000218992858824382,-0.788374291767775,2022-03-26,"TP2"
"16","ACR16_2","649",3,"hot",8.75812360488727e-05,0.315292449775942,2022-03-26,"TP2"
"17","ACR17_2","0",2,"hot",-0.000183827009730971,-0.661777235031496,2022-03-26,"TP2"
"18","ACR17_2","651",2,"hot",4.21624723008461e-05,0.151784900283046,2022-03-26,"TP2"
"19","ACR18_2","0",2,"hot",-0.00017790540395638,-0.640459454242968,2022-03-26,"TP2"
"20","ACR18_2","651",2,"hot",0.000186114142768203,0.67001091396553,2022-03-26,"TP2"
"21","ACR19_2","0",3,"hot",-0.000211840361954885,-0.762625303037585,2022-03-26,"TP2"
"22","ACR19_2","649",3,"hot",0.00018512354146458,0.666444749272486,2022-03-26,"TP2"
"23","ACR2_2","0",2,"ambient",-0.000191830274603427,-0.690588988572336,2022-03-26,"TP2"
"24","ACR2_2","651",2,"ambient",0.000146813378585429,0.528528162907543,2022-03-26,"TP2"
"25","ACR20_2","0",1,"hot",-0.000170169377842889,-0.612609760234401,2022-03-26,"TP2"
"26","ACR20_2","643",1,"hot",0.000139004696861383,0.500416908700977,2022-03-26,"TP2"
"27","ACR21_2","0",1,"hot",-0.000180881764787863,-0.651174353236305,2022-03-26,"TP2"
"28","ACR21_2","643",1,"hot",0.000158635986529981,0.571089551507932,2022-03-26,"TP2"
"29","ACR22_2","0",2,"hot",-0.00020846073939295,-0.750458661814622,2022-03-26,"TP2"
"30","ACR22_2","651",2,"hot",9.76652530439997e-05,0.351594910958399,2022-03-26,"TP2"
"31","ACR23_2","0",1,"hot",-0.000169213056497879,-0.609167003392366,2022-03-26,"TP2"
"32","ACR23_2","643",1,"hot",7.76912375381692e-05,0.279688455137409,2022-03-26,"TP2"
"33","ACR24_2","0",2,"hot",-0.000189442408417213,-0.681992670301966,2022-03-26,"TP2"
"34","ACR24_2","651",2,"hot",0.000135668779474831,0.488407606109392,2022-03-26,"TP2"
"35","ACR3_2","0",1,"ambient",-0.0002581330751483,-0.929279070533879,2022-03-26,"TP2"
"36","ACR3_2","643",1,"ambient",0.000100748304308271,0.362693895509774,2022-03-26,"TP2"
"37","ACR4_2","0",2,"ambient",-0.000190670516651574,-0.686413859945665,2022-03-26,"TP2"
"38","ACR4_2","651",2,"ambient",9.19530568165537e-05,0.331031004539593,2022-03-26,"TP2"
"39","ACR5_2","0",1,"ambient",-0.000194699199000738,-0.700917116402659,2022-03-26,"TP2"
"40","ACR5_2","643",1,"ambient",0.00013467447438056,0.484828107770015,2022-03-26,"TP2"
"41","ACR6_2","0",3,"ambient",-0.000183241032816189,-0.659667718138279,2022-03-26,"TP2"
"42","ACR6_2","649",3,"ambient",1.16093014260617e-05,0.0417934851338221,2022-03-26,"TP2"
"43","ACR7_2","0",3,"ambient",-0.000175756436046315,-0.632723169766735,2022-03-26,"TP2"
"44","ACR7_2","649",3,"ambient",0.000115287191034519,0.415033887724269,2022-03-26,"TP2"
"45","ACR8_2","0",2,"ambient",-0.000191687296717792,-0.690074268184051,2022-03-26,"TP2"
"46","ACR8_2","651",2,"ambient",6.54640000076838e-05,0.235670400027662,2022-03-26,"TP2"
"47","ACR9_2","0",1,"ambient",-0.000240843076361257,-0.867035074900524,2022-03-26,"TP2"
"48","ACR9_2","643",1,"ambient",0.000114733632547303,0.413041077170293,2022-03-26,"TP2"
