"Plot Title: Ambient_tank_cal"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444033, SEN S/N: 20444033, LBL: C)","Coupler Detached (LGR S/N: 20444033)","Coupler Attached (LGR S/N: 20444033)","Host Connected (LGR S/N: 20444033)","Stopped (LGR S/N: 20444033)","End Of File (LGR S/N: 20444033)"
1,04/09/22 01:15:00 PM,29.040,Logged,,,,
2,04/09/22 01:16:00 PM,29.140,,,,,
3,04/09/22 01:17:00 PM,29.215,,,,,
4,04/09/22 01:18:00 PM,29.290,,,,,
5,04/09/22 01:19:00 PM,29.315,,,,,
6,04/09/22 01:20:00 PM,29.365,,,,,
7,04/09/22 01:21:00 PM,29.389,,,,,
8,04/09/22 01:22:00 PM,29.414,,,,,
9,04/09/22 01:23:00 PM,29.414,,,,,
10,04/09/22 01:24:00 PM,29.439,,,,,
11,04/09/22 01:25:00 PM,29.439,,,,,
12,04/09/22 01:26:00 PM,29.439,,,,,
13,04/09/22 01:27:00 PM,29.464,,,,,
14,04/09/22 01:28:00 PM,29.464,,,,,
15,04/09/22 01:29:00 PM,29.464,,,,,
16,04/09/22 01:30:00 PM,29.464,,,,,
17,04/09/22 01:31:00 PM,29.464,,,,,
18,04/09/22 01:32:00 PM,29.464,,,,,
19,04/09/22 01:33:00 PM,29.464,,,,,
20,04/09/22 01:34:00 PM,29.464,,,,,
21,04/09/22 01:35:00 PM,29.464,,,,,
22,04/09/22 01:36:00 PM,29.464,,,,,
23,04/09/22 01:37:00 PM,29.464,,,,,
24,04/09/22 01:38:00 PM,29.464,,,,,
25,04/09/22 01:39:00 PM,29.464,,,,,
26,04/09/22 01:40:00 PM,29.464,,,,,
27,04/09/22 01:41:00 PM,29.464,,,,,
28,04/09/22 01:42:00 PM,29.464,,,,,
29,04/09/22 01:43:00 PM,29.464,,,,,
30,04/09/22 01:44:00 PM,29.414,,,,,
31,04/09/22 01:45:00 PM,29.439,,,,,
32,04/09/22 01:46:00 PM,29.464,,,,,
33,04/09/22 01:47:00 PM,29.439,,,,,
34,04/09/22 01:48:00 PM,29.439,,,,,
35,04/09/22 01:49:00 PM,29.464,,,,,
36,04/09/22 01:50:00 PM,29.464,,,,,
37,04/09/22 01:51:00 PM,29.439,,,,,
38,04/09/22 01:52:00 PM,29.439,,,,,
39,04/09/22 01:53:00 PM,29.464,,,,,
40,04/09/22 01:54:00 PM,29.464,,,,,
41,04/09/22 01:55:00 PM,29.464,,,,,
42,04/09/22 01:56:00 PM,29.464,,,,,
43,04/09/22 01:57:00 PM,29.464,,,,,
44,04/09/22 01:58:00 PM,29.464,,,,,
45,04/09/22 01:59:00 PM,29.439,,,,,
46,04/09/22 02:00:00 PM,29.414,,,,,
47,04/09/22 02:01:00 PM,29.439,,,,,
48,04/09/22 02:02:00 PM,29.439,,,,,
49,04/09/22 02:03:00 PM,29.439,,,,,
50,04/09/22 02:04:00 PM,29.439,,,,,
51,04/09/22 02:05:00 PM,29.414,,,,,
52,04/09/22 02:06:00 PM,29.414,,,,,
53,04/09/22 02:07:00 PM,29.414,,,,,
54,04/09/22 02:08:00 PM,29.414,,,,,
55,04/09/22 02:09:00 PM,29.414,,,,,
56,04/09/22 02:10:00 PM,29.414,,,,,
57,04/09/22 02:11:00 PM,29.414,,,,,
58,04/09/22 02:12:00 PM,29.414,,,,,
59,04/09/22 02:13:00 PM,29.414,,,,,
60,04/09/22 02:14:00 PM,29.414,,,,,
61,04/09/22 02:15:00 PM,29.414,,,,,
62,04/09/22 02:16:00 PM,29.414,,,,,
