fragment_ID,partner,treatment,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR10_1,Host,initial,0.513446728,TP1,52.19644953
ACR10_1,Sym,initial,0.985817719,TP1,33.25089396
ACR11_1,Host,initial,2.31657963,TP1,85.9984142
ACR11_1,Sym,initial,0.931207812,TP1,45.48778562
ACR12_1,Host,initial,2.556033064,TP1,87.21837713
ACR12_1,Sym,initial,0.964624652,TP1,57.67174623
ACR13_1,Host,initial,0.594609122,TP1,56.61071185
ACR13_1,Sym,initial,0.724083736,TP1,38.023596
ACR14_1,Host,initial,3.227489885,TP1,55.3752865
ACR14_1,Sym,initial,1.050301793,TP1,31.80800333
ACR15_1,Host,initial,2.439307786,TP1,73.31404412
ACR15_1,Sym,initial,1.340983383,TP1,62.60957813
ACR16_1,Host,initial,1.639161891,TP1,86.14131797
ACR16_1,Sym,initial,0.991097576,TP1,71.15539327
ACR17_1,Host,initial,2.281481597,TP1,84.06179971
ACR17_1,Sym,initial,1.338844756,TP1,70.44694763
ACR18_1,Host,initial,3.854854146,TP1,100.7916188
ACR18_1,Sym,initial,1.405117383,TP1,47.54174556
ACR19_1,Host,initial,1.88215394,TP1,59.81734624
ACR19_1,Sym,initial,0.766042469,TP1,39.37882145
ACR1_1,Host,initial,1.757255929,TP1,65.70972946
ACR1_1,Sym,initial,0.868291165,TP1,46.27881478
ACR20_1,Host,initial,2.076446613,TP1,53.55739263
ACR20_1,Sym,initial,0.738641369,TP1,37.45907071
ACR21_1,Host,initial,2.161100274,TP1,54.08290995
ACR21_1,Sym,initial,1.111097735,TP1,28.98568628
ACR22_1,Host,initial,1.848969146,TP1,54.98095134
ACR22_1,Sym,initial,0.999598945,TP1,32.37188663
ACR23_1,Host,initial,2.561355615,TP1,49.27500178
ACR23_1,Sym,initial,1.352689828,TP1,28.32495074
ACR24_1,Host,initial,1.984856417,TP1,97.52133759
ACR24_1,Sym,initial,0.662680794,TP1,51.88514502
ACR2_1,Host,initial,1.204828597,TP1,52.10817256
ACR2_1,Sym,initial,0.626593535,TP1,36.95508374
ACR3_1,Host,initial,1.597105815,TP1,53.96488929
ACR3_1,Sym,initial,0.713491798,TP1,35.1647733
ACR4_1,Host,initial,2.353758984,TP1,104.8522689
ACR4_1,Sym,initial,1.278894712,TP1,77.00040408
ACR5_1,Host,initial,0.33488127,TP1,40.81698872
ACR5_1,Sym,initial,1.078732585,TP1,35.85985686
ACR6_1,Host,initial,1.712469367,TP1,48.10217798
ACR6_1,Sym,initial,1.050436974,TP1,27.19127932
ACR7_1,Host,initial,1.888760261,TP1,108.9814671
ACR7_1,Sym,initial,0.923603768,TP1,57.99816134
ACR8_1,Host,initial,1.597625936,TP1,44.86580752
ACR8_1,Sym,initial,0.932486148,TP1,27.69621104
ACR9_1,Host,initial,3.299394981,TP1,109.6835181
ACR9_1,Sym,initial,0.840734721,TP1,57.66374412
