fragment_ID,surface.area.cm2,timepoint
ACR1_1,23.36313073575475,TP1
ACR10_1,14.911478788693884,TP1
ACR11_1,10.926669505668983,TP1
ACR12_1,14.397309848948737,TP1
ACR13_1,18.478525808175856,TP1
ACR14_1,14.075954261608015,TP1
ACR15_1,11.794329591488925,TP1
ACR16_1,16.77534119527007,TP1
ACR17_1,18.639203601846205,TP1
ACR18_1,15.457783287173102,TP1
ACR19_1,19.346185893995777,TP1
ACR2_1,16.936018988940404,TP1
ACR20_1,19.08910142412321,TP1
ACR21_1,13.176158617054007,TP1
ACR22_1,16.614663401599685,TP1
ACR23_1,18.70347471931435,TP1
ACR24_1,9.416298245167614,TP1
ACR3_1,15.907681109450106,TP1
ACR4_1,26.319602139289344,TP1
ACR5_1,20.245981538549792,TP1
ACR6_1,19.603270363868358,TP1
ACR7_1,21.177912741837872,TP1
ACR8_1,23.170317383350316,TP1
ACR9_1,15.650596639577554,TP1
