fragment_ID,timepoint,cells.cm2
ACR1_1,TP1,1574489.327481463
ACR10_1,TP1,1316100.185508092
ACR11_1,TP1,923771.8771271661
ACR12_1,TP1,977034.3775503163
ACR13_1,TP1,700813.481250233
ACR14_1,TP1,1302457.5806797885
ACR15_1,TP1,1310799.3871187316
ACR16_1,TP1,799735.3482810846
ACR17_1,TP1,1936778.0282428113
ACR18_1,TP1,1001113.7892482415
ACR19_1,TP1,830267.0142844594
ACR2_1,TP1,612402.8718578784
ACR20_1,TP1,1292622.3949346195
ACR21_1,TP1,1249731.9700867692
ACR22_1,TP1,1123104.3054536625
ACR23_1,TP1,1499275.7809707483
ACR24_1,TP1,827289.0043598376
ACR3_1,TP1,1208797.5949708598
ACR4_1,TP1,987856.8780182188
ACR5_1,TP1,746814.8665062468
ACR6_1,TP1,988610.5552938821
ACR7_1,TP1,1386664.8250302575
ACR8_1,TP1,1139892.3126381303
ACR9_1,TP1,1017426.6004061518
