fragment_ID,partner,treatment,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR10_5,Host,ambient,1.5873351536655145,TP5,52.0039596974219
ACR10_5,Sym,ambient,0.863510323594039,TP5,35.992562436892506
ACR11_5,Host,ambient,1.7387898863309545,TP5,37.2700267009293
ACR11_5,Sym,ambient,0.6495856556481662,TP5,18.83152195875904
ACR12_5,Host,ambient,1.9695917886244867,TP5,73.9943874532938
ACR12_5,Sym,ambient,1.1988369467685465,TP5,52.16552774046412
ACR13_5,Host,hot,1.9167059667684156,TP5,53.909982756409626
ACR13_5,Sym,hot,0.4269910924841508,TP5,29.574908613728056
ACR14_5,Host,hot,1.8181953961435868,TP5,66.48710762445602
ACR14_5,Sym,hot,0.5176356999697037,TP5,48.722609005538914
ACR15_5,Host,hot,0.7978738701694879,TP5,31.366685280609587
ACR15_5,Sym,hot,0.4157075323558228,TP5,22.939753344152685
ACR16_5,Host,hot,1.4541436450139464,TP5,40.60754116024707
ACR16_5,Sym,hot,0.5209937967411824,TP5,24.94561120204779
ACR17_5,Host,hot,0.6019353179512975,TP5,49.74369893758653
ACR17_5,Sym,hot,0.6270628358969187,TP5,32.94694436168322
ACR18_5,Host,hot,1.4114518581103301,TP5,54.311553457745404
ACR18_5,Sym,hot,0.5887671887931458,TP5,41.346508789262344
ACR19_5,Host,hot,0.41522017927214494,TP5,38.415742371879965
ACR19_5,Sym,hot,0.33003307152469774,TP5,17.94801279683232
ACR1_5,Host,ambient,2.0569193239047148,TP5,59.78063057029642
ACR1_5,Sym,ambient,0.910167964570303,TP5,39.545592540096145
ACR20_5,Host,hot,1.2808810858469903,TP5,42.68814940291408
ACR20_5,Sym,hot,0.19949041592340286,TP5,24.074618350855726
ACR21_5,Host,hot,1.7830860996185955,TP5,53.56600418089517
ACR21_5,Sym,hot,0.323402871009249,TP5,24.12148386822276
ACR22_5,Host,hot,1.3409721866202358,TP5,34.24837294555419
ACR22_5,Sym,hot,0.5046364676921852,TP5,25.048566635892165
ACR23_5,Host,hot,1.5950974461870673,TP5,112.21635429699275
ACR23_5,Sym,hot,1.3217541254310716,TP5,65.08854008602299
ACR24_5,Host,hot,0.9695614722389314,TP5,37.26662531939016
ACR24_5,Sym,hot,0.7298881643521362,TP5,24.17325534915468
ACR2_5,Host,ambient,1.7819522510738934,TP5,53.271696135100335
ACR2_5,Sym,ambient,0.7434812013843896,TP5,27.690837213949063
ACR3_5,Host,ambient,1.8664590330751205,TP5,33.05769655374734
ACR3_5,Sym,ambient,1.1751568018934109,TP5,20.53674847537774
ACR4_5,Host,ambient,1.699119592712083,TP5,36.23555155982003
ACR4_5,Sym,ambient,0.8321986078877848,TP5,22.382651340511423
ACR5_5,Host,ambient,2.1374633930414233,TP5,61.048048957581635
ACR5_5,Sym,ambient,0.8706937496063721,TP5,33.88541266724113
ACR6_5,Host,ambient,1.640256291177829,TP5,32.150287676797696
ACR6_5,Sym,ambient,0.6857800833261269,TP5,18.94257629937583
ACR7_5,Host,ambient,2.2605481286793423,TP5,46.01364659067537
ACR7_5,Sym,ambient,0.5632427180955277,TP5,24.835972965493635
ACR8_5,Host,ambient,3.404610420566945,TP5,109.20221607528788
ACR8_5,Sym,ambient,1.5932438736914978,TP5,56.63250772094044
ACR9_5,Host,ambient,2.578679153569004,TP5,35.619066252458005
ACR9_5,Sym,ambient,0.8041765405047018,TP5,20.352197207820797
