fragment_ID,prot_ug,prot_ug.cm2,timepoint
ACR1_5,13363.010623842865,503.4182193722762,TP5
ACR10_5,13037.119836293557,497.1598466954629,TP5
ACR11_5,8534.447677609529,424.23131238559597,TP5
ACR12_5,7497.535016932959,443.53920493413176,TP5
ACR13_5,5025.419856860449,394.88581429377405,TP5
ACR14_5,13737.114756777459,408.6678742924489,TP5
ACR15_5,11052.760399892539,432.07784009398824,TP5
ACR16_5,5001.64492031407,356.9624626007843,TP5
ACR17_5,11956.195123705258,512.4597143409139,TP5
ACR18_5,30416.871170392464,636.9489163065648,TP5
ACR19_5,8984.711585158922,385.09765730045706,TP5
ACR2_5,10825.077932561067,451.53960650696354,TP5
ACR20_5,21438.386664245874,531.1416632361115,TP5
ACR21_5,4753.810575111776,415.5124292500834,TP5
ACR22_5,9288.002827076323,421.3092079614206,TP5
ACR23_5,14241.168450820911,1016.3781398937092,TP5
ACR24_5,11881.410981694493,453.0878396730582,TP5
ACR3_5,9370.807008427011,534.0527446742678,TP5
ACR4_5,8169.508644166257,387.5201619244428,TP5
ACR5_5,17470.820827449068,580.8222411207626,TP5
ACR6_5,14851.944708758141,521.6208071252261,TP5
ACR7_5,9291.655031467733,469.36834399370605,TP5
ACR8_5,12734.048370953653,700.0843531509006,TP5
ACR9_5,8598.06443784467,550.5065059444603,TP5
