fragment_ID,timepoint,cells.cm2
ACR1_5,TP5,709499.0341917946
ACR10_5,TP5,976997.6369227688
ACR11_5,TP5,745456.0414144237
ACR12_5,TP5,1396313.7581641441
ACR13_5,TP5,620894.6047930745
ACR14_5,TP5,769983.1037049306
ACR15_5,TP5,419264.9317769594
ACR16_5,TP5,591173.3264392067
ACR17_5,TP5,566931.8103653392
ACR18_5,TP5,684130.8883864066
ACR19_5,TP5,306727.1646881306
ACR2_5,TP5,1246921.6438538267
ACR20_5,TP5,386535.3915091461
ACR21_5,TP5,727656.4597708249
ACR22_5,TP5,586852.5214173138
ACR23_5,TP5,1484475.4756461384
ACR24_5,TP5,398978.8359213297
ACR3_5,TP5,995444.8176400658
ACR4_5,TP5,789317.4210700422
ACR5_5,TP5,940633.4966752713
ACR6_5,TP5,678588.980588185
ACR7_5,TP5,634595.2148946188
ACR8_5,TP5,1582706.5464845435
ACR9_5,TP5,862227.5009657618
