fragment_ID,prot_ug,prot_ug.cm2,timepoint
ACR1_5,18490.638254027563,696.5888486454375,TP5
ACR10_5,17853.287069693815,680.820424605569,TP5
ACR11_5,11041.41362849358,548.8478658668209,TP5
ACR12_5,11201.127795381188,662.6363605516456,TP5
ACR13_5,6332.237705848848,497.57252408717477,TP5
ACR14_5,18685.550273573193,555.8797640908106,TP5
ACR15_5,14791.437105104746,578.2313164340258,TP5
ACR16_5,6506.331411184283,464.3504527081341,TP5
ACR17_5,13886.478827389594,595.1944493592266,TP5
ACR18_5,36584.69686725327,766.1071677117038,TP5
ACR19_5,11890.564335059014,509.64668437162743,TP5
ACR2_5,14844.106119438293,619.1827789024524,TP5
ACR20_5,28811.0494648855,713.8013215275432,TP5
ACR21_5,6230.044014031146,544.5443569328916,TP5
ACR22_5,13889.945047068784,630.0559824711302,TP5
ACR23_5,19444.17591605783,1387.711648631593,TP5
ACR24_5,16469.661365670603,628.0569959086025,TP5
ACR3_5,11520.752145893675,656.5805163518432,TP5
ACR4_5,11722.984674544376,556.0790883746993,TP5
ACR5_5,22462.141437587194,746.760066914147,TP5
ACR6_5,17393.202659586314,610.8732955648513,TP5
ACR7_5,11331.309658642305,572.4015831135191,TP5
ACR8_5,16135.477705769808,887.0859559628533,TP5
ACR9_5,10376.191920260517,664.3543090802493,TP5
