fragment_ID,surface.area.cm2,timepoint
ACR1_5,26.544551050427835,TP5
ACR2_5,23.97370635170212,TP5
ACR3_5,17.546594604887765,TP5
ACR4_5,21.08150606563567,TP5
ACR5_5,30.07946251117577,TP5
ACR6_5,28.472684574472154,TP5
ACR7_5,19.796083716272797,TP5
ACR8_5,18.189305779569214,TP5
ACR9_5,15.618461080843456,TP5
ACR10_5,26.223195463087137,TP5
ACR11_5,20.11743930361351,TP5
ACR12_5,16.903883430206328,TP5
ACR13_5,12.726260794777003,TP5
ACR14_5,33.61437397192364,TP5
ACR15_5,25.580484288405707,TP5
ACR16_5,14.011683144139875,TP5
ACR17_5,23.330995177020682,TP5
ACR18_5,47.7540198149152,TP5
ACR19_5,23.330995177020668,TP5
ACR20_5,40.362841306078714,TP5
ACR21_5,11.440838445414139,TP5
ACR22_5,22.0455728276578,TP5
ACR23_5,14.01168314413986,TP5
ACR24_5,26.223195463087137,TP5
