fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR1_5,1.9227047101446735,0.6217283527850062,TP5
ACR10_5,1.846782939484627,0.6592331596023144,TP5
ACR11_5,1.8926518310158005,0.6240369268938238,TP5
ACR12_5,1.5326236585595314,0.5802660696578337,TP5
ACR13_5,0.6818892163172946,0.1901363675489881,TP5
ACR14_5,0.7705366863285092,0.1805470185185987,TP5
ACR15_5,1.2903915850267091,0.48972685031135404,TP5
ACR16_5,1.1921361025295092,0.37295662100277893,TP5
ACR17_5,1.1398017157675813,0.37747532555637103,TP5
ACR18_5,1.7385908101932934,0.5161905761135718,TP5
ACR19_5,1.1820648793911313,0.5609222795986699,TP5
ACR2_5,1.322454395170414,0.3725414781084064,TP5
ACR20_5,1.1304956536792348,0.3492853709948509,TP5
ACR21_5,0.6548471107030654,0.2620437316988507,TP5
ACR22_5,1.531524428840186,0.517238204202811,TP5
ACR23_5,4.578203251774378,1.552276038235746,TP5
ACR24_5,1.7756655578281795,0.60235794002431,TP5
ACR3_5,1.6286113617381381,0.6192369656145882,TP5
ACR4_5,1.4775557260007723,0.5510469680786405,TP5
ACR5_5,1.5898202131182546,0.6515242748343231,TP5
ACR6_5,1.250886614040337,0.4006699814399745,TP5
ACR7_5,1.7319240002918732,0.723264899523054,TP5
ACR8_5,1.9836307720547424,1.0415831824258166,TP5
ACR9_5,1.343879734673567,0.5056676172588376,TP5
