Serial Number:21002978 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-02-23 10:30:00,18.70,"21,105", , , , 
2022-02-23 10:31:00,18.66,"33,956", , , , 
2022-02-23 10:32:00,18.27,"24,596", , , , 
2022-02-23 10:33:00,18.14,"24,504", , , , 
2022-02-23 10:34:00,18.06,"18,913", , , , 
2022-02-23 10:35:00,18.27,"55,194", , , , 
2022-02-23 10:36:00,18.53,"52,101", , , , 
2022-02-23 10:37:00,18.62,"51,384", , , , 
2022-02-23 10:38:00,18.66,"51,036", , , , 
2022-02-23 10:39:00,18.74,"50,934", , , , 
2022-02-23 10:40:00,18.66,"51,139", , , , 
2022-02-23 10:41:00,18.74,"50,893", , , , 
2022-02-23 10:42:00,18.83,"50,831", , , , 
2022-02-23 10:43:00,18.83,"50,913", , , , 
2022-02-23 10:44:00,18.87,"50,831", , , , 
2022-02-23 10:45:00,18.96,"27,525", , , , 
2022-02-23 10:46:00,18.96,"57,815", , , , 
2022-02-23 10:47:00,18.66,"66,601", , , , 
2022-02-23 10:48:00,18.49,"59,372", , , , 
2022-02-23 10:49:00,18.53,"47,923", , , , 
2022-02-23 10:50:00,18.49,"59,556", , , , 
2022-02-23 10:51:00,18.57,"63,918", , , , 
2022-02-23 10:52:00,18.66,"68,014", , , , 
2022-02-23 10:53:00,18.74,"67,174", , , , 
2022-02-23 10:54:00,18.83,"67,256", , , , 
2022-02-23 10:55:00,18.79,"67,154", , , , 
2022-02-23 10:56:00,18.92,"76,001", , , , 
2022-02-23 10:57:00,18.87,"61,993", , , , 
2022-02-23 10:58:00,18.87,"61,952", , , , 
2022-02-23 10:59:00,18.92,"62,054", , , , 
2022-02-23 11:00:00,18.92,"61,870", , , , 
2022-02-23 11:01:00,18.96,"61,993", , , , 
2022-02-23 11:02:00,19.00,"61,993", , , , 
2022-02-23 11:03:00,19.00,"61,870", , , , 
