Serial Number:21002981 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-02-23 10:30:00,19.04,"43,008", , , , 
2022-02-23 10:31:00,19.09,"57,446", , , , 
2022-02-23 10:32:00,18.74,"46,981", , , , 
2022-02-23 10:33:00,18.62,"47,022", , , , 
2022-02-23 10:34:00,18.49,"40,612", , , , 
2022-02-23 10:35:00,18.49,"53,248", , , , 
2022-02-23 10:36:00,18.66,"55,235", , , , 
2022-02-23 10:37:00,18.66,"55,235", , , , 
2022-02-23 10:38:00,18.74,"55,378", , , , 
2022-02-23 10:39:00,18.74,"55,398", , , , 
2022-02-23 10:40:00,18.66,"55,665", , , , 
2022-02-23 10:41:00,18.74,"55,194", , , , 
2022-02-23 10:42:00,18.79,"55,214", , , , 
2022-02-23 10:43:00,18.79,"55,357", , , , 
2022-02-23 10:44:00,18.79,"55,603", , , , 
2022-02-23 10:45:00,18.87,"27,197", , , , 
2022-02-23 10:46:00,18.83,"58,491", , , , 
2022-02-23 10:47:00,18.74,"50,565", , , , 
2022-02-23 10:48:00,18.44,"52,244", , , , 
2022-02-23 10:49:00,18.40,"61,911", , , , 
2022-02-23 10:50:00,18.49,"59,720", , , , 
2022-02-23 10:51:00,18.57,"62,833", , , , 
2022-02-23 10:52:00,18.66,"70,492", , , , 
2022-02-23 10:53:00,18.79,"74,752", , , , 
2022-02-23 10:54:00,18.87,"74,752", , , , 
2022-02-23 10:55:00,18.92,"75,387", , , , 
2022-02-23 10:56:00,18.96,"66,683", , , , 
2022-02-23 10:57:00,18.92,"61,665", , , , 
2022-02-23 10:58:00,18.92,"61,399", , , , 
2022-02-23 10:59:00,18.87,"61,379", , , , 
2022-02-23 11:00:00,18.92,"61,297", , , , 
2022-02-23 11:01:00,18.92,"61,379", , , , 
2022-02-23 11:02:00,18.92,"61,297", , , , 
2022-02-23 11:03:00,18.92,"61,194", , , , 
2022-02-23 11:04:00,18.92,"61,297", , , , 
2022-02-23 11:05:00,18.96,"61,194", , , , 
2022-02-23 11:06:00,19.00,"61,297", , , , 
2022-02-23 11:07:00,19.00,"61,256", , , , 
2022-02-23 11:08:00,19.04,"61,358", , , , 
2022-02-23 11:09:00,19.04,"61,256", , , , 
2022-02-23 11:10:00,19.09,"61,276", , , , 
2022-02-23 11:11:00,19.09,"61,276", , , , 
2022-02-23 11:12:00,19.09,"61,379", , , , 
2022-02-23 11:13:00,19.13,"61,297", , , , 
2022-02-23 11:14:00,19.22,"61,276", , , , 
2022-02-23 11:15:00,19.22,"61,379", , , , 
2022-02-23 11:16:00,19.22,"61,153", , , , 
2022-02-23 11:17:00,19.26,"61,297", , , , 
2022-02-23 11:18:00,19.30,"61,379", , , , 
2022-02-23 11:19:00,19.35,"61,399", , , , 
2022-02-23 11:20:00,19.35,"61,399", , , , 
2022-02-23 11:21:00,19.35,"61,276", , , , 
2022-02-23 11:22:00,19.39,"61,399", , , , 
2022-02-23 11:23:00,19.39,"61,460", , , , 
2022-02-23 11:24:00,19.39,"61,440", , , , 
2022-02-23 11:25:00,19.43,"61,358", , , , 
2022-02-23 11:26:00,19.43,"61,440", , , , 
2022-02-23 11:27:00,19.43,"61,358", , , , 
2022-02-23 11:28:00,19.43,"61,481", , , , 
2022-02-23 11:29:00,19.47,"61,399", , , , 
2022-02-23 11:30:00,19.52,"61,460", , , , 
2022-02-23 11:31:00,19.56,"61,399", , , , 
2022-02-23 11:32:00,19.56,"61,522", , , , 
2022-02-23 11:33:00,19.56,"61,522", , , , 
2022-02-23 11:34:00,19.60,"61,338", , , , 
2022-02-23 11:35:00,19.60,"61,379", , , , 
2022-02-23 11:36:00,19.65,"61,297", , , , 
2022-02-23 11:37:00,19.69,"61,256", , , , 
2022-02-23 11:38:00,19.69,"61,542", , , , 
2022-02-23 11:39:00,19.73,"61,563", , , , 
2022-02-23 11:40:00,19.69,"61,522", , , , 
2022-02-23 11:41:00,19.77,"61,522", , , , 
2022-02-23 11:42:00,19.77,"61,092", , , , 
2022-02-23 11:43:00,19.77,"61,399", , , , 
2022-02-23 11:44:00,19.82,"61,440", , , , 
2022-02-23 11:45:00,19.82,"61,133", , , , 
2022-02-23 11:46:00,19.82,"61,440", , , , 
2022-02-23 11:47:00,19.86,"61,542", , , , 
2022-02-23 11:48:00,19.90,"61,440", , , , 
2022-02-23 11:49:00,19.86,"61,399", , , , 
2022-02-23 11:50:00,19.95,"61,379", , , , 
2022-02-23 11:51:00,19.95,"61,522", , , , 
2022-02-23 11:52:00,19.99,"61,399", , , , 
2022-02-23 11:53:00,19.99,"61,338", , , , 
2022-02-23 11:54:00,19.99,"61,440", , , , 
2022-02-23 11:55:00,20.03,"61,522", , , , 
2022-02-23 11:56:00,20.03,"61,460", , , , 
2022-02-23 11:57:00,20.07,"61,542", , , , 
2022-02-23 11:58:00,20.07,"61,481", , , , 
2022-02-23 11:59:00,20.03,"61,440", , , , 
2022-02-23 12:00:00,20.12,"61,440", , , , 
2022-02-23 12:01:00,20.07,"61,522", , , , 
2022-02-23 12:02:00,20.16,"61,460", , , , 
2022-02-23 12:03:00,20.12,"61,481", , , , 
2022-02-23 12:04:00,20.12,"61,460", , , , 
2022-02-23 12:05:00,20.16,"61,542", , , , 
2022-02-23 12:06:00,20.20,"61,440", , , , 
2022-02-23 12:07:00,20.16,"61,440", , , , 
2022-02-23 12:08:00,20.25,"61,542", , , , 
2022-02-23 12:09:00,20.25,"61,522", , , , 
2022-02-23 12:10:00,20.20,"61,460", , , , 
2022-02-23 12:11:00,20.29,"61,071", , , , 
2022-02-23 12:12:00,20.29,"61,460", , , , 
2022-02-23 12:13:00,20.25,"61,542", , , , 
2022-02-23 12:14:00,20.25,"61,174", , , , 
2022-02-23 12:15:00,20.33,"61,379", , , , 
2022-02-23 12:16:00,20.33,"61,542", , , , 
2022-02-23 12:17:00,20.33,"61,276", , , , 
2022-02-23 12:18:00,20.33,"61,481", , , , 
2022-02-23 12:19:00,20.33,"61,481", , , , 
2022-02-23 12:20:00,20.37,"61,440", , , , 
2022-02-23 12:21:00,20.37,"61,440", , , , 
2022-02-23 12:22:00,20.37,"61,460", , , , 
2022-02-23 12:23:00,20.42,"61,563", , , , 
2022-02-23 12:24:00,20.42,"61,481", , , , 
2022-02-23 12:25:00,20.42,"61,542", , , , 
2022-02-23 12:26:00,20.42,"61,542", , , , 
2022-02-23 12:27:00,20.42,"61,542", , , , 
2022-02-23 12:28:00,20.46,"61,481", , , , 
2022-02-23 12:29:00,20.50,"61,522", , , , 
2022-02-23 12:30:00,20.50,"61,542", , , , 
2022-02-23 12:31:00,20.50,"61,379", , , , 
2022-02-23 12:32:00,20.50,"61,460", , , , 
2022-02-23 12:33:00,20.50,"61,522", , , , 
2022-02-23 12:34:00,20.50,"61,440", , , , 
2022-02-23 12:35:00,20.55,"61,460", , , , 
2022-02-23 12:36:00,20.50,"61,460", , , , 
2022-02-23 12:37:00,20.59,"61,645", , , , 
2022-02-23 12:38:00,20.55,"61,542", , , , 
2022-02-23 12:39:00,20.59,"61,440", , , , 
2022-02-23 12:40:00,20.59,"61,522", , , , 
2022-02-23 12:41:00,20.59,"61,542", , , , 
2022-02-23 12:42:00,20.63,"61,542", , , , 
2022-02-23 12:43:00,20.63,"61,542", , , , 
2022-02-23 12:44:00,20.63,"61,583", , , , 
2022-02-23 12:45:00,20.63,"61,522", , , , 
2022-02-23 12:46:00,20.63,"61,481", , , , 
2022-02-23 12:47:00,20.68,"61,542", , , , 
2022-02-23 12:48:00,20.68,"61,563", , , , 
2022-02-23 12:49:00,20.68,"61,297", , , , 
2022-02-23 12:50:00,20.68,"61,399", , , , 
2022-02-23 12:51:00,20.72,"61,624", , , , 
2022-02-23 12:52:00,20.72,"61,624", , , , 
2022-02-23 12:53:00,20.72,"61,522", , , , 
2022-02-23 12:54:00,20.72,"61,542", , , , 
2022-02-23 12:55:00,20.72,"61,542", , , , 
2022-02-23 12:56:00,20.72,"61,583", , , , 
2022-02-23 12:57:00,20.76,"61,542", , , , 
2022-02-23 12:58:00,20.76,"61,665", , , , 
2022-02-23 12:59:00,20.80,"61,583", , , , 
2022-02-23 13:00:00,20.76,"61,583", , , , 
2022-02-23 13:01:00,20.80,"61,399", , , , 
2022-02-23 13:02:00,20.85,"61,542", , , , 
2022-02-23 13:03:00,20.85,"61,481", , , , 
2022-02-23 13:04:00,20.85,"61,563", , , , 
2022-02-23 13:05:00,20.85,"61,583", , , , 
2022-02-23 13:06:00,20.85,"60,969", , , , 
2022-02-23 13:07:00,20.89,"61,399", , , , 
2022-02-23 13:08:00,20.85,"61,522", , , , 
2022-02-23 13:09:00,20.85,"61,645", , , , 
2022-02-23 13:10:00,20.89,"61,379", , , , 
2022-02-23 13:11:00,20.89,"61,338", , , , 
2022-02-23 13:12:00,20.85,"61,481", , , , 
2022-02-23 13:13:00,20.93,"61,522", , , , 
2022-02-23 13:14:00,20.89,"61,399", , , , 
2022-02-23 13:15:00,20.89,"61,563", , , , 
2022-02-23 13:16:00,20.93,"61,563", , , , 
2022-02-23 13:17:00,20.93,"61,563", , , , 
2022-02-23 13:18:00,20.93,"61,624", , , , 
2022-02-23 13:19:00,20.98,"61,379", , , , 
2022-02-23 13:20:00,21.02,"61,624", , , , 
2022-02-23 13:21:00,21.02,"61,522", , , , 
2022-02-23 13:22:00,20.98,"61,522", , , , 
2022-02-23 13:23:00,20.98,"61,563", , , , 
2022-02-23 13:24:00,21.02,"61,542", , , , 
2022-02-23 13:25:00,20.98,"61,563", , , , 
2022-02-23 13:26:00,21.02,"61,542", , , , 
2022-02-23 13:27:00,21.06,"61,563", , , , 
2022-02-23 13:28:00,21.06,"61,645", , , , 
2022-02-23 13:29:00,21.06,"61,624", , , , 
2022-02-23 13:30:00,21.06,"61,276", , , , 
2022-02-23 13:31:00,21.06,"61,563", , , , 
2022-02-23 13:32:00,21.06,"61,686", , , , 
2022-02-23 13:33:00,21.06,"61,624", , , , 
2022-02-23 13:34:00,21.10,"61,563", , , , 
2022-02-23 13:35:00,21.10,"61,542", , , , 
2022-02-23 13:36:00,21.15,"61,563", , , , 
2022-02-23 13:37:00,21.10,"61,583", , , , 
2022-02-23 13:38:00,21.15,"61,522", , , , 
2022-02-23 13:39:00,21.15,"61,563", , , , 
2022-02-23 13:40:00,21.15,"61,563", , , , 
2022-02-23 13:41:00,21.15,"61,542", , , , 
2022-02-23 13:42:00,21.19,"61,583", , , , 
2022-02-23 13:43:00,21.15,"61,522", , , , 
2022-02-23 13:44:00,21.19,"61,522", , , , 
2022-02-23 13:45:00,21.19,"61,665", , , , 
2022-02-23 13:46:00,21.15,"61,563", , , , 
2022-02-23 13:47:00,21.19,"61,522", , , , 
2022-02-23 13:48:00,21.23,"61,645", , , , 
2022-02-23 13:49:00,21.23,"61,563", , , , 
2022-02-23 13:50:00,21.28,"61,583", , , , 
2022-02-23 13:51:00,21.23,"61,583", , , , 
2022-02-23 13:52:00,21.28,"61,583", , , , 
2022-02-23 13:53:00,21.28,"61,563", , , , 
2022-02-23 13:54:00,21.28,"61,645", , , , 
2022-02-23 13:55:00,21.28,"61,583", , , , 
2022-02-23 13:56:00,21.28,"61,563", , , , 
2022-02-23 13:57:00,21.28,"61,153", , , , 
2022-02-23 13:58:00,21.28,"61,563", , , , 
2022-02-23 13:59:00,21.28,"61,583", , , , 
2022-02-23 14:00:00,21.28,"61,624", , , , 
2022-02-23 14:01:00,21.32,"61,522", , , , 
2022-02-23 14:02:00,21.36,"61,645", , , , 
2022-02-23 14:03:00,21.36,"61,624", , , , 
2022-02-23 14:04:00,21.32,"61,542", , , , 
2022-02-23 14:05:00,21.32,"61,563", , , , 
2022-02-23 14:06:00,21.36,"61,583", , , , 
2022-02-23 14:07:00,21.36,"61,563", , , , 
2022-02-23 14:08:00,21.36,"61,624", , , , 
2022-02-23 14:09:00,21.36,"61,460", , , , 
2022-02-23 14:10:00,21.40,"61,563", , , , 
2022-02-23 14:11:00,21.36,"61,440", , , , 
2022-02-23 14:12:00,21.45,"61,542", , , , 
2022-02-23 14:13:00,21.40,"61,583", , , , 
2022-02-23 14:14:00,21.40,"61,624", , , , 
2022-02-23 14:15:00,21.40,"61,645", , , , 
2022-02-23 14:16:00,21.45,"61,583", , , , 
2022-02-23 14:17:00,21.40,"61,665", , , , 
2022-02-23 14:18:00,21.45,"61,665", , , , 
2022-02-23 14:19:00,21.45,"61,624", , , , 
2022-02-23 14:20:00,21.45,"61,583", , , , 
2022-02-23 14:21:00,21.40,"61,665", , , , 
2022-02-23 14:22:00,21.45,"61,522", , , , 
2022-02-23 14:23:00,21.49,"61,563", , , , 
2022-02-23 14:24:00,21.45,"61,645", , , , 
2022-02-23 14:25:00,21.49,"61,276", , , , 
2022-02-23 14:26:00,21.49,"61,645", , , , 
2022-02-23 14:27:00,21.49,"61,563", , , , 
2022-02-23 14:28:00,21.49,"61,583", , , , 
2022-02-23 14:29:00,21.53,"61,665", , , , 
2022-02-23 14:30:00,21.53,"61,583", , , , 
2022-02-23 14:31:00,21.49,"61,522", , , , 
2022-02-23 14:32:00,21.53,"61,645", , , , 
