Serial Number:21002973 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-02-23 10:30:00,18.96,"22,651", , , , 
2022-02-23 10:31:00,18.44,"12,037", , , , 
2022-02-23 10:32:00,18.40,"34,591", , , , 
2022-02-23 10:33:00,18.49,"34,580", , , , 
2022-02-23 10:34:00,18.57,"36,229", , , , 
2022-02-23 10:35:00,18.74,"49,828", , , , 
2022-02-23 10:36:00,18.87,"47,268", , , , 
2022-02-23 10:37:00,18.92,"47,002", , , , 
2022-02-23 10:38:00,18.96,"46,920", , , , 
2022-02-23 10:39:00,19.00,"46,756", , , , 
2022-02-23 10:40:00,18.96,"46,961", , , , 
2022-02-23 10:41:00,19.04,"46,899", , , , 
2022-02-23 10:42:00,19.04,"46,510", , , , 
2022-02-23 10:43:00,19.13,"46,592", , , , 
2022-02-23 10:44:00,19.09,"46,572", , , , 
2022-02-23 10:45:00,19.22,"39,875", , , , 
2022-02-23 10:46:00,19.35,"63,099", , , , 
2022-02-23 10:47:00,19.17,"67,092", , , , 
2022-02-23 10:48:00,18.74,"8,251", , , , 
2022-02-23 10:49:00,18.83,"67,195", , , , 
2022-02-23 10:50:00,18.87,"57,262", , , , 
2022-02-23 10:51:00,19.09,"73,994", , , , 
2022-02-23 10:52:00,19.26,"59,392", , , , 
2022-02-23 10:53:00,19.43,"71,045", , , , 
2022-02-23 10:54:00,19.60,"70,984", , , , 
2022-02-23 10:55:00,19.65,"71,393", , , , 
2022-02-23 10:56:00,19.69,"79,503", , , , 
2022-02-23 10:57:00,19.86,"76,964", , , , 
2022-02-23 10:58:00,19.90,"77,947", , , , 
2022-02-23 10:59:00,19.99,"77,967", , , , 
2022-02-23 11:00:00,20.07,"78,049", , , , 
2022-02-23 11:01:00,20.12,"77,967", , , , 
2022-02-23 11:02:00,20.16,"77,988", , , , 
2022-02-23 11:03:00,20.16,"77,926", , , , 
2022-02-23 11:04:00,20.20,"77,763", , , , 
2022-02-23 11:05:00,20.16,"77,926", , , , 
2022-02-23 11:06:00,20.25,"77,988", , , , 
2022-02-23 11:07:00,20.25,"77,885", , , , 
2022-02-23 11:08:00,20.29,"77,947", , , , 
2022-02-23 11:09:00,20.29,"77,947", , , , 
2022-02-23 11:10:00,20.33,"77,885", , , , 
2022-02-23 11:11:00,20.37,"77,804", , , , 
2022-02-23 11:12:00,20.37,"77,783", , , , 
2022-02-23 11:13:00,20.42,"77,947", , , , 
2022-02-23 11:14:00,20.37,"77,537", , , , 
2022-02-23 11:15:00,20.42,"77,701", , , , 
2022-02-23 11:16:00,20.42,"77,599", , , , 
