Serial Number:21002977 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-02-23 10:30:00,20.07,"20,337", , , , 
2022-02-23 10:31:00,19.22,"32,225", , , , 
2022-02-23 10:32:00,19.17,"67,932", , , , 
2022-02-23 10:33:00,19.52,"67,502", , , , 
2022-02-23 10:34:00,19.60,"66,130", , , , 
2022-02-23 10:35:00,19.90,"94,290", , , , 
2022-02-23 10:36:00,20.07,"94,167", , , , 
2022-02-23 10:37:00,20.12,"94,044", , , , 
2022-02-23 10:38:00,20.16,"94,126", , , , 
2022-02-23 10:39:00,20.20,"94,044", , , , 
2022-02-23 10:40:00,19.99,"94,331", , , , 
2022-02-23 10:41:00,20.16,"93,962", , , , 
2022-02-23 10:42:00,20.20,"94,208", , , , 
2022-02-23 10:43:00,20.20,"93,143", , , , 
2022-02-23 10:44:00,20.25,"93,757", , , , 
2022-02-23 10:45:00,20.29,"97,362", , , , 
2022-02-23 10:46:00,20.25,"91,750", , , , 
2022-02-23 10:47:00,19.90,"89,866", , , , 
2022-02-23 10:48:00,19.60,"88,474", , , , 
2022-02-23 10:49:00,19.47,"85,320", , , , 
2022-02-23 10:50:00,19.43,"84,296", , , , 
2022-02-23 10:51:00,19.43,"88,228", , , , 
2022-02-23 10:52:00,19.82,"115,958", , , , 
2022-02-23 10:53:00,20.16,"120,750", , , , 
2022-02-23 10:54:00,20.42,"120,504", , , , 
2022-02-23 10:55:00,20.50,"120,955", , , , 
2022-02-23 10:56:00,20.46,"118,333", , , , 
2022-02-23 10:57:00,20.63,"118,579", , , , 
2022-02-23 10:58:00,20.72,"118,743", , , , 
2022-02-23 10:59:00,20.72,"118,702", , , , 
2022-02-23 11:00:00,20.76,"118,702", , , , 
2022-02-23 11:01:00,20.80,"118,538", , , , 
2022-02-23 11:02:00,20.85,"117,965", , , , 
2022-02-23 11:03:00,20.85,"118,620", , , , 
2022-02-23 11:04:00,20.85,"118,497", , , , 
2022-02-23 11:05:00,20.89,"118,170", , , , 
2022-02-23 11:06:00,20.89,"118,538", , , , 
2022-02-23 11:07:00,20.98,"118,743", , , , 
2022-02-23 11:08:00,20.98,"118,538", , , , 
2022-02-23 11:09:00,20.98,"118,497", , , , 
2022-02-23 11:10:00,20.98,"118,538", , , , 
2022-02-23 11:11:00,21.06,"118,538", , , , 
2022-02-23 11:12:00,21.06,"118,620", , , , 
2022-02-23 11:13:00,21.10,"118,579", , , , 
2022-02-23 11:14:00,21.10,"118,497", , , , 
2022-02-23 11:15:00,21.15,"118,415", , , , 
2022-02-23 11:16:00,21.15,"118,620", , , , 
2022-02-23 11:17:00,21.19,"118,620", , , , 
2022-02-23 11:18:00,21.19,"118,415", , , , 
2022-02-23 11:19:00,21.19,"117,924", , , , 
2022-02-23 11:20:00,21.28,"118,211", , , , 
2022-02-23 11:21:00,21.23,"118,579", , , , 
2022-02-23 11:22:00,21.28,"118,538", , , , 
2022-02-23 11:23:00,21.32,"118,538", , , , 
2022-02-23 11:24:00,21.36,"118,415", , , , 
2022-02-23 11:25:00,21.40,"118,620", , , , 
2022-02-23 11:26:00,21.36,"118,538", , , , 
2022-02-23 11:27:00,21.40,"118,333", , , , 
2022-02-23 11:28:00,21.40,"118,579", , , , 
2022-02-23 11:29:00,21.45,"118,579", , , , 
2022-02-23 11:30:00,21.40,"118,825", , , , 
2022-02-23 11:31:00,21.45,"118,743", , , , 
2022-02-23 11:32:00,21.49,"118,620", , , , 
2022-02-23 11:33:00,21.53,"118,620", , , , 
2022-02-23 11:34:00,21.58,"118,702", , , , 
2022-02-23 11:35:00,21.53,"118,784", , , , 
2022-02-23 11:36:00,21.62,"118,825", , , , 
2022-02-23 11:37:00,21.62,"118,702", , , , 
2022-02-23 11:38:00,21.66,"118,702", , , , 
2022-02-23 11:39:00,21.66,"118,784", , , , 
2022-02-23 11:40:00,21.66,"118,743", , , , 
2022-02-23 11:41:00,21.70,"118,743", , , , 
2022-02-23 11:42:00,21.66,"118,702", , , , 
2022-02-23 11:43:00,21.66,"118,702", , , , 
2022-02-23 11:44:00,21.75,"118,784", , , , 
2022-02-23 11:45:00,21.75,"118,702", , , , 
2022-02-23 11:46:00,21.75,"118,415", , , , 
2022-02-23 11:47:00,21.75,"118,702", , , , 
2022-02-23 11:48:00,21.79,"118,784", , , , 
