well,fragment_ID
A1,BK
A2,BK
A3,ACR1_1
A4,ACR1_1
A5,ACR2_1
A6,ACR2_1
A7,ACR3_1
A8,ACR3_1
A9,ACR4_1
A10,ACR4_1
A11,ACR5_1
A12,ACR5_1
B1,ACR6_1
B2,ACR6_1
B3,ACR7_1
B4,ACR7_1
B5,ACR8_1
B6,ACR8_1
B7,ACR9_1
B8,ACR9_1
B9,ACR10_1
B10,ACR10_1
B11,ACR11_1
B12,ACR11_1
C1,ACR12_1
C2,ACR12_1
C3,ACR13_1
C4,ACR13_1
C5,ACR14_1
C6,ACR14_1
C7,ACR15_1
C8,ACR15_1
C9,ACR16_1
C10,ACR16_1
C11,ACR17_1
C12,ACR17_1
D1,ACR18_1
D2,ACR18_1
D3,ACR19_1
D4,ACR19_1
D5,ACR20_1
D6,ACR20_1
D7,ACR21_1
D8,ACR21_1
D9,ACR22_1
D10,ACR22_1
D11,ACR23_1
D12,ACR23_1
E1,ACR24_1
E2,ACR24_1
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,
