Pan.ID,fragment_ID,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
71,ACR1_1,Host,TP1,0.29654,0.3489,0.34108
100,ACR1_1,Sym,TP1,0.31545,0.33254,0.32771
177,ACR10_1,Host,TP1,0.34808,0.36045,0.358
94,ACR10_1,Sym,TP1,0.30288,0.31948,0.3136
86,ACR11_1,Host,TP1,0.36423,0.41725,0.40915
320,ACR11_1,Sym,TP1,0.30582,0.32114,0.31707
67,ACR12_1,Host,TP1,0.35093,0.40166,0.39246
87,ACR12_1,Sym,TP1,0.35573,0.37064,0.3663
324,ACR13_1,Host,TP1,0.31078,0.36183,0.3589
168,ACR13_1,Sym,TP1,0.32824,0.34362,0.33916
235,ACR14_1,Host,TP1,0.38159,0.4222,0.40568
19,ACR14_1,Sym,TP1,0.33963,0.35789,0.35117
55,ACR15_1,Host,TP1,0.35238,0.40569,0.3961
228,ACR15_1,Sym,TP1,0.49701,0.51477,0.50818
255,ACR16_1,Host,TP1,0.38364,0.43028,0.42381
204,ACR16_1,Sym,TP1,0.47877,0.49189,0.487
254,ACR17_1,Host,TP1,0.39263,0.44788,0.43816
218,ACR17_1,Sym,TP1,0.4987,0.51765,0.51052
226,ACR18_1,Host,TP1,0.50996,0.55146,0.53557
49,ACR18_1,Sym,TP1,0.34049,0.35846,0.35122
24,ACR19_1,Host,TP1,0.3494,0.40177,0.39206
249,ACR19_1,Sym,TP1,0.35681,0.37288,0.36794
114,ACR2_1,Host,TP1,0.30445,0.33913,0.3333
150,ACR2_1,Sym,TP1,0.3254,0.33974,0.33595
147.1,ACR20_1,Host,TP1,0.33075,0.36083,0.35026
20,ACR20_1,Sym,TP1,0.33368,0.34958,0.34488
44,ACR21_1,Host,TP1,0.37922,0.43673,0.42534
64,ACR21_1,Sym,TP1,0.3428,0.36236,0.35504
315,ACR22_1,Host,TP1,0.37471,0.4294,0.41916
10,ACR22_1,Sym,TP1,0.3838,0.38402,0.3771
280,ACR23_1,Host,TP1,0.33473,0.40203,0.3867
92,ACR23_1,Sym,TP1,0.3164,0.33847,0.32835
50,ACR24_1,Host,TP1,0.38626,0.43485,0.42862
285,ACR24_1,Sym,TP1,0.32633,0.33954,0.33694
102,ACR3_1,Host,TP1,0.32795,0.37965,0.37152
88,ACR3_1,Sym,TP1,0.34736,0.3627,0.35816
122,ACR4_1,Host,TP1,0.38253,0.41896,0.4107
45,ACR4_1,Sym,TP1,0.38496,0.40193,0.39632
81,ACR5_1,Host,TP1,0.34425,0.39021,0.38795
209,ACR5_1,Sym,TP1,0.48183,0.50327,0.49417
48,ACR6_1,Host,TP1,0.38454,0.4425,0.43131
72,ACR6_1,Sym,TP1,0.34613,0.36632,0.35774
225,ACR7_1,Host,TP1,0.51275,0.56415,0.55615
308,ACR7_1,Sym,TP1,0.38876,0.40426,0.39937
51,ACR8_1,Host,TP1,0.38115,0.43714,0.42575
155,ACR8_1,Sym,TP1,0.36902,0.38875,0.38044
201,ACR9_1,Host,TP1,0.46895,0.51425,0.5021
80,ACR9_1,Sym,TP1,0.35563,0.37003,0.36616
