date.collection,lat,long,coral.species,treatment,coral_ID,site,genotype,original.tag,patch.num,tank.num,metal.tag,notes
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-1,Mahana,1,1-blue,1,17,93,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-2,Mahana,2,2-blue,1,14,90,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-3,Mahana,3,3-blue,2,7,67,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-4,Mahana,4,4-blue,2,24,97,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-5,Mahana,5,5-blue,3,13,91,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-6,Mahana,6,6-blue,3,9,89,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-7,Mahana,7,7-blue,4,3,60,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-8,Mahana,8,8-blue,4,19,94,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-9,Mahana,9,9-blue,4,21,96,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-10,Mahana,10,10-blue,5,5,59,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-11,Mahana,11,11-blue,5,1,63,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,ambient,ACR-12,Mahana,12,12-blue,5,11,92,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-13,Mahana,1,1-red,1,10,282,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-14,Mahana,2,2-red,1,8,283,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-15,Mahana,3,3-red,2,20,277,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-16,Mahana,4,4-red,2,18,278,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-17,Mahana,5,5-red,3,4,277,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-18,Mahana,6,6-red,3,22,287,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-19,Mahana,7,7-red,4,16,279,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-20,Mahana,8,8-red,4,2,285,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-21,Mahana,9,9-red,4,15,281,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-22,Mahana,10,10-red,5,12,280,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-23,Mahana,11,11-red,5,23,288,
20220319," 17°29'13.65""S","149°53'15.04""W",Acropora,hot,ACR-24,Mahana,12,12-red,5,6,284,
