date,cohort,ID,treatment,dpf,time,tube.num,rep,type,number.of.sample,experiment,storage,notes
20221020,20221020,ACR_4,ambient,NA,NA,102,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_10,ambient,NA,NA,68,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,NUMBER OUT OF ORDER DUE TO LOW EGG MATERIAL AFTER 67 ABOVE
20221021,20221021,ACR_10,ambient,NA,NA,69,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,NUMBER OUT OF ORDER DUE TO LOW EGG MATERIAL AFTER 67 ABOVE
20221021,20221021,ACR_10,ambient,NA,NA,103,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_10,ambient,NA,NA,104,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_10,ambient,NA,NA,105,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_10,ambient,NA,NA,106,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_13,heatwave,NA,NA,107,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_13,heatwave,NA,NA,108,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_13,heatwave,NA,NA,109,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_13,heatwave,NA,NA,110,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_13,heatwave,NA,NA,111,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_13,heatwave,NA,NA,112,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_1,ambient,NA,NA,113,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_1,ambient,NA,NA,114,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_1,ambient,NA,NA,115,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_1,ambient,NA,NA,116,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_1,ambient,NA,NA,117,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_1,ambient,NA,NA,118,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_11,ambient,NA,NA,119,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_11,ambient,NA,NA,120,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_11,ambient,NA,NA,121,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_11,ambient,NA,NA,122,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_11,ambient,NA,NA,123,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221021,20221021,ACR_11,ambient,NA,NA,124,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_10,ambient,NA,NA,125,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_10,ambient,NA,NA,126,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_10,ambient,NA,NA,127,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_10,ambient,NA,NA,128,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_10,ambient,NA,NA,129,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_10,ambient,NA,NA,130,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_15,heatwave,NA,NA,131,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_15,heatwave,NA,NA,132,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_15,heatwave,NA,NA,133,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_15,heatwave,NA,NA,134,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_15,heatwave,NA,NA,135,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_15,heatwave,NA,NA,136,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_14,heatwave,NA,NA,137,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_14,heatwave,NA,NA,138,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_14,heatwave,NA,NA,139,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_14,heatwave,NA,NA,140,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_14,heatwave,NA,NA,141,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_14,heatwave,NA,NA,142,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_16,heatwave,NA,NA,143,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_16,heatwave,NA,NA,144,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_16,heatwave,NA,NA,145,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_16,heatwave,NA,NA,146,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_16,heatwave,NA,NA,147,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_16,heatwave,NA,NA,148,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_4,ambient,NA,NA,149,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_4,ambient,NA,NA,150,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_4,ambient,NA,NA,151,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_4,ambient,NA,NA,152,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_4,ambient,NA,NA,153,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_4,ambient,NA,NA,154,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_2,ambient,NA,NA,155,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_2,ambient,NA,NA,156,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_2,ambient,NA,NA,157,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_2,ambient,NA,NA,158,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_2,ambient,NA,NA,159,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221022,20221022,ACR_2,ambient,NA,NA,160,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_24,heatwave,NA,NA,161,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_24,heatwave,NA,NA,162,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_24,heatwave,NA,NA,163,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_24,heatwave,NA,NA,164,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_24,heatwave,NA,NA,165,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_24,heatwave,NA,NA,166,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_16,heatwave,NA,NA,167,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_16,heatwave,NA,NA,168,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_16,heatwave,NA,NA,169,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_16,heatwave,NA,NA,170,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_16,heatwave,NA,NA,171,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_16,heatwave,NA,NA,172,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_9,ambient,NA,NA,173,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_9,ambient,NA,NA,174,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_9,ambient,NA,NA,175,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_9,ambient,NA,NA,176,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_9,ambient,NA,NA,177,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_9,ambient,NA,NA,178,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_8,ambient,NA,NA,179,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_8,ambient,NA,NA,180,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_8,ambient,NA,NA,181,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_8,ambient,NA,NA,182,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_8,ambient,NA,NA,183,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_8,ambient,NA,NA,184,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_12,ambient,NA,NA,185,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_12,ambient,NA,NA,186,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_12,ambient,NA,NA,187,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_12,ambient,NA,NA,188,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_12,ambient,NA,NA,189,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_12,ambient,NA,NA,190,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_5,ambient,NA,NA,191,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_5,ambient,NA,NA,192,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_5,ambient,NA,NA,193,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_5,ambient,NA,NA,194,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_5,ambient,NA,NA,195,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_5,ambient,NA,NA,196,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_20,heatwave,NA,NA,197,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_20,heatwave,NA,NA,198,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_20,heatwave,NA,NA,199,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_20,heatwave,NA,NA,200,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_20,heatwave,NA,NA,201,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_20,heatwave,NA,NA,202,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_1,ambient,NA,NA,203,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_1,ambient,NA,NA,204,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_1,ambient,NA,NA,205,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_1,ambient,NA,NA,206,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_1,ambient,NA,NA,207,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221023,20221023,ACR_1,ambient,NA,NA,208,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_3,ambient,NA,NA,209,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_3,ambient,NA,NA,210,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_3,ambient,NA,NA,211,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_3,ambient,NA,NA,212,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_3,ambient,NA,NA,213,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_3,ambient,NA,NA,214,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_6,ambient,NA,NA,215,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_6,ambient,NA,NA,216,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_6,ambient,NA,NA,217,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_6,ambient,NA,NA,218,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_6,ambient,NA,NA,219,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_6,ambient,NA,NA,220,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_7,ambient,NA,NA,221,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_7,ambient,NA,NA,222,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_7,ambient,NA,NA,223,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_7,ambient,NA,NA,224,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_7,ambient,NA,NA,225,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_7,ambient,NA,NA,226,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221024,20221024,ACR_21,heatwave,NA,NA,227,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
