date,cohort,ID,treatment,dpf,time,tube.num,rep,type,number.of.sample,experiment,storage,notes
20221017,20221017,ACR_10,ambient,NA,NA,1,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_10,ambient,NA,NA,2,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_10,ambient,NA,NA,3,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_10,ambient,NA,NA,4,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_10,ambient,NA,NA,5,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_10,ambient,NA,NA,6,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_11,ambient,NA,NA,7,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_11,ambient,NA,NA,8,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_11,ambient,NA,NA,9,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_11,ambient,NA,NA,10,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_11,ambient,NA,NA,11,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_11,ambient,NA,NA,12,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_23,heatwave,NA,NA,13,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_23,heatwave,NA,NA,14,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_23,heatwave,NA,NA,15,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_23,heatwave,NA,NA,16,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_23,heatwave,NA,NA,17,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221017,20221017,ACR_23,heatwave,NA,NA,18,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_23,heatwave,NA,NA,19,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_23,heatwave,NA,NA,20,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_23,heatwave,NA,NA,21,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_23,heatwave,NA,NA,22,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_23,heatwave,NA,NA,23,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_23,heatwave,NA,NA,24,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_22,heatwave,NA,NA,25,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_22,heatwave,NA,NA,26,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_22,heatwave,NA,NA,27,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_22,heatwave,NA,NA,28,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_22,heatwave,NA,NA,29,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_22,heatwave,NA,NA,30,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_10,ambient,NA,NA,31,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_10,ambient,NA,NA,32,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_10,ambient,NA,NA,33,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_10,ambient,NA,NA,34,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_10,ambient,NA,NA,35,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_10,ambient,NA,NA,36,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_14,heatwave,NA,NA,37,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_14,heatwave,NA,NA,38,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_14,heatwave,NA,NA,39,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_14,heatwave,NA,NA,40,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_14,heatwave,NA,NA,41,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221018,20221018,ACR_14,heatwave,NA,NA,42,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_10,ambient,NA,NA,43,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_10,ambient,NA,NA,44,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_10,ambient,NA,NA,45,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_10,ambient,NA,NA,46,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_10,ambient,NA,NA,47,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_10,ambient,NA,NA,48,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_11,ambient,NA,NA,49,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_11,ambient,NA,NA,50,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_11,ambient,NA,NA,51,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_11,ambient,NA,NA,52,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_11,ambient,NA,NA,53,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_11,ambient,NA,NA,54,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_24,heatwave,NA,NA,55,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_24,heatwave,NA,NA,56,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_24,heatwave,NA,NA,57,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_24,heatwave,NA,NA,58,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_24,heatwave,NA,NA,59,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221019,20221019,ACR_24,heatwave,NA,NA,60,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_13,heatwave,NA,NA,61,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_13,heatwave,NA,NA,62,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_13,heatwave,NA,NA,63,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_13,heatwave,NA,NA,64,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_13,heatwave,NA,NA,65,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_13,heatwave,NA,NA,66,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_18,heatwave,NA,NA,67,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_18,heatwave,NA,NA,70,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_18,heatwave,NA,NA,71,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_18,heatwave,NA,NA,72,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_10,ambient,NA,NA,73,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_10,ambient,NA,NA,74,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_10,ambient,NA,NA,75,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_10,ambient,NA,NA,76,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_10,ambient,NA,NA,77,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_10,ambient,NA,NA,78,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_11,ambient,NA,NA,79,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_11,ambient,NA,NA,80,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_11,ambient,NA,NA,81,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_11,ambient,NA,NA,82,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_11,ambient,NA,NA,83,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_11,ambient,NA,NA,84,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_5,ambient,NA,NA,85,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_5,ambient,NA,NA,86,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_5,ambient,NA,NA,87,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_5,ambient,NA,NA,88,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_5,ambient,NA,NA,89,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_5,ambient,NA,NA,90,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_2,ambient,NA,NA,91,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_2,ambient,NA,NA,92,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_2,ambient,NA,NA,93,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_2,ambient,NA,NA,94,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_2,ambient,NA,NA,95,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_2,ambient,NA,NA,96,3,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_4,ambient,NA,NA,97,1,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_4,ambient,NA,NA,98,2,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_4,ambient,NA,NA,99,3,egg,250 uL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_4,ambient,NA,NA,100,1,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
20221020,20221020,ACR_4,ambient,NA,NA,101,2,sperm,1 mL,heatwave spawning,URI FREEZER J SHELF Z,
