well,fragment_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR1_4
B8,ACR1_4
B9,ACR2_4
B10,ACR2_4
B11,ACR3_4
B12,ACR3_4
C1,ACR4_4
C2,ACR4_4
C3,ACR5_4
C4,ACR5_4
C5,ACR6_4
C6,ACR6_4
C7,ACR7_4
C8,ACR7_4
C9,ACR8_4
C10,ACR8_4
C11,ACR9_4
C12,ACR9_4
D1,ACR10_4
D2,ACR10_4
D3,ACR11_4
D4,ACR11_4
D5,ACR12_4
D6,ACR12_4
D7,ACR13_4
D8,ACR13_4
D9,ACR14_4
D10,ACR14_4
D11,ACR15_4
D12,ACR15_4
E1,ACR16_4
E2,ACR16_4
E3,ACR17_4
E4,ACR17_4
E5,ACR18_4
E6,ACR18_4
E7,ACR19_4
E8,ACR19_4
E9,ACR20_4
E10,ACR20_4
E11,ACR21_4
E12,ACR21_4
F1,ACR22_4
F2,ACR22_4
F3,ACR23_4
F4,ACR23_4
F5,ACR24_4
F6,ACR24_4
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
